question_id,accuracy,relevance,conciseness,helpfulness,overall_score
1,5,5,5,5,5.0
2,5,5,4,5,4.75
3,5,4,5,5,4.75
4,5,5,5,5,5.0
5,5,5,4,5,4.75
6,5,5,5,5,5.0
7,4,5,5,5,4.75
8,5,5,5,5,5.0
9,5,5,4,5,4.75
10,5,5,5,5,5.0
11,5,4,5,5,4.75
12,5,5,5,5,5.0
13,5,5,4,5,4.75
14,5,5,5,5,5.0
15,4,5,5,5,4.75
16,5,5,5,5,5.0
17,5,5,4,5,4.75
18,5,5,5,5,5.0
19,5,4,5,5,4.75
20,5,5,5,5,5.0
21,4,5,5,5,4.75
22,5,5,5,5,5.0
23,5,5,4,5,4.75
24,5,5,5,5,5.0
25,5,4,5,5,4.75
26,5,5,5,5,5.0
27,4,4,4,4,4.0
28,4,4,4,4,4.0
29,4,4,3,4,3.75
30,4,4,4,4,4.0
31,4,4,4,4,4.0
32,4,4,3,4,3.75
