question,ground_truth,contexts,evolution_type
What is the primary purpose of RAG evaluation?,RAG evaluation measures whether a system can retrieve relevant context and generate answers grounded in that context.,generic,simple
Define faithfulness in the context of RAG metrics.,"Faithfulness measures whether an answer is supported by and grounded in the retrieved context, avoiding hallucinations.",generic,simple
What does answer relevancy measure in RAGAS?,Answer relevancy quantifies whether the generated answer directly addresses the user's question without tangents.,generic,simple
Explain context precision in retrieval evaluation.,Context precision measures the fraction of retrieved documents that are actually relevant to the question.,generic,simple
What is context recall?,Context recall measures whether all necessary evidence needed to answer the question was retrieved.,generic,simple
What are input guardrails?,"Input guardrails validate user queries for scope compliance, detect PII, and block prompt injection attacks.",generic,simple
What types of PII should be detected?,"PII types include email addresses, phone numbers, national IDs, bank accounts, names, and other personal identifiers.",generic,simple
What is prompt injection?,Prompt injection attempts to manipulate the model by inserting hidden instructions or bypassing safety constraints.,generic,simple
What are output guardrails?,"Output guardrails filter final responses to prevent harmful content, private data leaks, and policy violations.",generic,simple
What is an LLM-as-judge?,"LLM-as-judge uses a language model to compare or score answers, calibrated against human annotations.",generic,simple
What is pairwise comparison in evaluation?,Pairwise comparison judges two candidate answers for the same question and selects the better one.,generic,simple
What is position bias in LLM judging?,Position bias is the tendency for judges to favor the first presented option regardless of quality.,generic,simple
What is Cohen's Kappa?,"Cohen's Kappa measures inter-rater agreement between human labels and judge predictions, accounting for chance.",generic,simple
What is latency P95?,"P95 latency is the 95th percentile response time, meaning 95% of requests complete within this duration.",generic,simple
What are SLOs?,"SLOs (Service Level Objectives) define target availability, latency, and accuracy metrics for production systems.",generic,simple
What is an incident playbook?,"An incident playbook documents how to detect, diagnose, and resolve specific failure scenarios.",generic,simple
What is a CI/CD evaluation gate?,A CI/CD gate automatically runs evaluation on code changes and blocks merges if metrics fall below thresholds.,generic,simple
What is text chunking in RAG?,Chunking divides long documents into overlapping segments that can be indexed and retrieved independently.,generic,simple
What is hybrid search?,Hybrid search combines keyword-based (BM25) and semantic (vector) retrieval to balance recall and precision.,generic,simple
What is reranking in RAG?,Reranking uses a specialized model to re-order initial retrieval results by relevance before passing to generation.,generic,simple
What is metadata filtering?,"Metadata filtering restricts retrieval to documents with specific attributes (date, source, category) before vector search.",generic,simple
What is false positive rate in safety filtering?,False positive rate measures the fraction of safe content incorrectly flagged as unsafe by the guard.,generic,simple
What is precision in adversarial testing?,Precision in security testing measures the fraction of detected attacks that were actually attack attempts.,generic,simple
What are common adversarial attack types?,"Common attacks include jailbreaks, prompt injection, role-playing exploits, encoding-based bypasses, and semantic confusion.",generic,simple
What is throughput in performance benchmarking?,"Throughput measures the number of successful requests processed per unit time (e.g., requests per second).",generic,simple
What is cost per query in operations?,"Cost per query includes API charges, infrastructure overhead, and operational costs amortized across request volume.",generic,simple
How would you detect if a RAG system is hallucinating rather than retrieving?,Compare faithfulness scores across retrieval methods: high scores with retrieval + low without retrieval indicates genuine retrieval value.,generic,reasoning
Why is context precision important even when context recall is perfect?,"Low precision adds noise that confuses the model and increases latency, so optimizing precision reduces downstream problems.",generic,reasoning
How can position bias compromise judge calibration?,"If judges systematically prefer first answers, then observed judge accuracy may be artificially high and not generalize.",generic,reasoning
What is the relationship between false positive rate and user trust in guardrails?,High false positives block legitimate queries and frustrate users; low false positives increase user trust and adoption.,generic,reasoning
Why should latency be measured per pipeline layer rather than only end-to-end?,"Per-layer measurement identifies bottlenecks (e.g., retrieval vs. generation) so engineers can optimize high-impact components.",generic,reasoning
How would you prioritize guardrail improvements if PII recall is 75% and adversarial detection is 60%?,Prioritize adversarial detection because it has lower baseline performance and higher impact on system trustworthiness.,generic,reasoning
What metric gap would indicate that chunking strategy is suboptimal?,"If context recall is significantly lower than context precision, chunking is likely losing relevant evidence.",generic,reasoning
How does test set diversity affect the reliability of evaluation results?,Diverse test sets across question types and domains reveal failure patterns; homogeneous sets may hide systematic issues.,generic,reasoning
Why run adversarial tests if the system is already passing functional tests?,Functional tests measure normal cases; adversarial tests reveal vulnerability to sophisticated attacks from motivated actors.,generic,reasoning
What problem could arise if SLO targets are set without analyzing cost implications?,"Overly aggressive SLOs (e.g., P99 < 10ms) may require expensive infrastructure, making the system economically unviable.",generic,reasoning
How would you validate that a CI/CD evaluation gate is preventing quality regression?,Compare production quality metrics before and after enabling the gate; a well-tuned gate should show improvement.,generic,reasoning
Why is it insufficient to only measure average latency without percentiles?,Average latency can hide long-tail outliers; P95/P99 captures user experience for slower-than-average requests.,generic,reasoning
What would explain a situation where Cohen's Kappa is low but absolute scores are high?,Judges may agree on overall quality but disagree on which answers are better pairwise (different ranking preference).,generic,reasoning
"Design a guardrail stack that balances security, user experience, and operational complexity for a support chatbot.","Use scope validation, PII detection, and adversarial filtering at input; add output safety and rate limiting. Prioritize reducing false positives for UX.",generic,multi_context
How would you debug a situation where faithfulness is high but answer relevancy is low?,Model generates text that is grounded in context but answers the wrong question. Check question understanding and answer synthesis logic.,generic,multi_context
Propose a calibration strategy if your LLM judge disagrees with humans on 40% of test cases.,"Analyze disagreement patterns, adjust judge prompts or rubric, collect more human labels in disagreement areas, and retrain if using supervised methods.",generic,multi_context
How would you design a cost-effective latency benchmarking system for continuous monitoring?,"Sample requests in production (1-5%), capture latency by layer, store in time-series DB, compute P50/P95/P99 hourly, alert on SLO violations.",generic,multi_context
What metrics would you track to detect whether your adversarial defense is improving over time?,"Track detection rate, false positive rate, new attack types encountered, and time-to-fix for newly discovered vulnerabilities.",generic,multi_context
How would you test the robustness of PII detection when model performance varies across PII types?,"Create domain-specific test sets (emails, phone, IDs, names), measure recall per type, identify weak areas, and apply targeted improvements.",generic,multi_context
Design a human-in-the-loop evaluation process that maintains high quality while scaling beyond 100 test questions.,"Use judge for initial filtering, have humans review lowest-confidence predictions and disagreements, update judge thresholds based on feedback.",generic,multi_context
"How would you structure an SLO that incorporates both individual metrics (faithfulness, latency) and user-facing outcomes?","Create component SLOs for retrieval, generation, guardrails; aggregate to system SLOs; map to user-facing outcomes like 'satisfactory answer rate'.",generic,multi_context
What would be your incident response priority if both latency spike and adversarial attack detection rate drop simultaneously?,Prioritize latency because slower system may indicate attack or load; investigation might reveal if attack is causing slowdown.,generic,multi_context
How would you design test set generation to ensure it covers both common use cases and rare edge cases?,"Use stratified sampling from production queries plus targeted generation for edge cases (ambiguous questions, multilingual, extreme length).",generic,multi_context
Propose a strategy to identify whether test set labeling errors are affecting evaluation metrics.,"Have multiple annotators label random subset, compute inter-annotator agreement, audit low-agreement questions, correct if errors found.",generic,multi_context
How would you configure a CI/CD gate to prevent both false positives (blocking good PRs) and false negatives (allowing regressions)?,"Set thresholds conservatively, monitor gate false positive rate, require optional fallback review, and adjust thresholds based on observed false rates.",generic,multi_context
Design a guardrail testing strategy that covers both known attacks and unknown unknowns.,"Use known attack patterns, red-team with security experts, monitor production for new patterns, and run continuous fuzzing.",generic,multi_context
